countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
NPL,Nepal,2004,Lower middle income,7273938315,3.031716066,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2005,Lower middle income,8130258041,11.57737489,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2006,Lower middle income,9043715356,0.405672372,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2007,Lower middle income,10325618017,3.02706443,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2008,Lower middle income,12545438605,11.72896396,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2009,Lower middle income,12854985464,0.390536334,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2010,Lower middle income,16002656434,2.711451144,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2012,Lower middle income,18851513891,0.418195139,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2013,Lower middle income,19271168018,3.446975017,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2014,Lower middle income,20002968838,16.40515173,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2015,Lower middle income,21410840909,0.436414784,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2016,Lower middle income,21185922408,2.77879997,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
NPL,Nepal,2017,Lower middle income,24880266905,18.37720939,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.
