countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
VEN,"Venezuela, RB",2003,none,83620628582,2.85,Latin America & Caribbean,
VEN,"Venezuela, RB",2006,none,1.83E11,4.071481232,Latin America & Caribbean,
VEN,"Venezuela, RB",2007,none,2.3E11,4.863619002,Latin America & Caribbean,
VEN,"Venezuela, RB",2008,none,3.16E11,2.120799691,Latin America & Caribbean,
VEN,"Venezuela, RB",2010,none,3.93E11,4.267246653,Latin America & Caribbean,
VEN,"Venezuela, RB",2011,none,3.16E11,5.09641053,Latin America & Caribbean,
VEN,"Venezuela, RB",2012,none,3.81E11,4.594439484,Latin America & Caribbean,
VEN,"Venezuela, RB",2013,none,3.71E11,9.464039949,Latin America & Caribbean,
VEN,"Venezuela, RB",2014,none,4.82E11,3.637078983,Latin America & Caribbean,
VEN,"Venezuela, RB",2016,none,,2.191647164,Latin America & Caribbean,
