countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
YEM,"Yemen, Rep.",2004,Lower middle income,13872791659,3.883848243,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2007,Lower middle income,21650532264,13.69777132,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2008,Lower middle income,26910851362,5.805263746,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2009,Lower middle income,25130274124,14.77571864,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2010,Lower middle income,30906749533,15.26651177,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2011,Lower middle income,32726417878,5.665800528,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2012,Lower middle income,35401339869,9.398212212,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2013,Lower middle income,40415233436,14.73228843,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2014,Lower middle income,43228583935,7.400829799,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2015,Lower middle income,45593573381,6.551113669,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2016,Lower middle income,36436652465,16.54233036,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
YEM,"Yemen, Rep.",2017,Lower middle income,31267675216,8.548246196,Middle East & North Africa,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990."
